id,name,acceptance_rate,min_ielts,min_gpa,min_sat,application_deadline,enrollment_size,international_students_percent
university-of-simon-fraser,"University of Simon Fraser",59.00,6.5,3.00,,"January 31",25185,21.00
university-lynchburg,"University of Lynchburg",72.00,6.0,3.00,1050,Rolling,2000,3.00
randolph-college,"Randolph College",75.00,6.0,3.00,1020,Rolling,550,10.00
fordham-university,"Fordham University",54.00,7.0,3.00,1280,"January 15",10237,12.00
university-texas-san-antonio,"The University of Texas at San Antonio",84.00,6.0,2.50,990,"May 1",32234,2.00
washington-state-university,"Washington State University",73.00,6.5,3.00,1060,"May 1",25000,8.00
ithaca-college,"Ithaca College",74.00,6.5,3.00,1100,"February 1",5100,6.00
barton-college,"Barton College",68.00,6.0,2.50,900,Rolling,1100,5.00
university-st-andrews,"University of St Andrews",8.30,6.5,3.70,1350,"January 29",7300,45.00
eotvos-lorand-university,"Eotvos Lorand University",40.00,6.0,3.00,,"May 31",22000,14.00
university-of-calgary,"University of Calgary",,,,,,,
warsaw-university-of-technology-wut,"Warsaw University of Technology (WUT)",,,,,,,
york-college-pennsylvania,"York College of Pennsylvania",,,,,,,
cornish-college-of-the-arts,"Cornish College of the Arts",,,,,,,
herzing-university,"Herzing University",,,,,,,
polytechnic-university-of-milan,"Polytechnic University of Milan",43.00,6.0,3.00,1100,"March 4",25000,30.00
new-york-university,"New York University",,,,,,,
university-of-charleston,"University of Charleston",,,,,,,
budapest-business-university,"Budapest Business University",,,,,,,
ucl-university-college-london,"UCL (University College London)",,,,,,,
vienna-university-of-technology,"Vienna University of Technology",,,,,,,
tor-vergata-university-of-rome,"Tor Vergata University of Rome",,,,,,,
university-massachusetts-boston,"University of Massachusetts Boston",80.00,6.0,3.00,1060,Rolling,13784,10.00
kyungbok-university,"Kyungbok University",,,,,,,
university-of-bologna,"University of Bologna",55.00,6.0,2.70,,"March 31",64000,8.00
forth-valley-college,"Forth Valley College",60.00,6.0,2.70,,Rolling,1500,12.00
university-dayton,"University of Dayton",72.00,6.0,3.00,1110,Rolling,8623,5.00
university-of-dayton,"University of Dayton",74.00,6.0,3.00,1110,Rolling,8878,7.00
northwestern-university-qatar,"Northwestern University in Qatar",10.00,7.0,3.70,1400,"January 15",600,70.00
international-black-sea-university,"International Black Sea University",45.00,6.0,2.50,,"August 15",2000,55.00
university-of-the-arts-london,"University of The Arts London",18.00,6.0,3.00,,"January 15",18000,47.00
northwestern-university,"Northwestern University",7.00,7.0,3.70,1460,"January 2",8365,11.00
klaipeda-university,"Klaipeda University",60.00,5.5,2.50,,"July 1",2500,8.00
eka-university-of-applied-sciences,"EKA University of Applied Sciences",60.00,5.5,2.00,,"July 1",800,15.00
the-university-of-western-australia,"The University of Western Australia",40.00,6.5,3.00,,Rolling,24000,25.00
taylors-university,"Taylor's University",60.00,6.0,2.50,1100,Rolling,8000,25.00
city-st-georges-university-of-london,"City St George's, University of London",13.00,6.5,3.30,,"January 29",4500,25.00
western-new-england-university,"Western New England University",78.00,6.0,3.00,1000,Rolling,2554,3.00
